doc_id,arquivo,linha,turno,falante,rotulo_original,fornecedor,modelo,papel,palavras
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,25,1,humano,Eu,,,,46
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,35,2,ia,ChatGPT o3 diz,openai,ChatGPT o3,,409
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,128,3,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,931
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,268,4,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,143
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,298,5,ia,Claude Opus 4,anthropic,Claude Opus 4,,905
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,521,6,ia,ChatGPT o3 diz,openai,ChatGPT o3,,472
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,648,7,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,838
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,776,8,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,1097
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1151,9,ia,ChatGPT o3 diz,openai,ChatGPT o3,,244
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1200,10,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,530
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1249,11,humano,Eu,,,,653
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1500,12,ia,Claude Sonnet 4,anthropic,Claude Sonnet 4,,617
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1675,13,ia,ChatGPT o3 diz,openai,ChatGPT o3,,369
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1742,14,ia,Gemini 2.5 Pro diz,google,Gemini 2.5 Pro,,759
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,1861,15,ia,Claude Sonnet 4 diz,anthropic,Claude Sonnet 4,,588
M01,corpus/metodologia-multi-ia/M01-conversas_parte-1-de-4.md,2022,16,ia,ChatGPT o3 diz,openai,ChatGPT o3,,194
